eval_dataset,cmmn_filter,feature_extractor,classifier_type,is_normalized,validation_segment_len,prediction_window,mean_f1,std_f1
cue,None,psd_autocorr,logistic,False,300.0,50.0,0.6795588018553135,0.19732156261015182
cue,unnormed-barycenter,bowav,random_forest,False,-1.0,5.0,0.8854237003727592,0.04918336209911498
cue,unnormed-barycenter,bowav,random_forest,False,-1.0,10.0,0.8855393756740194,0.0543567639430818
cue,unnormed-barycenter,bowav,random_forest,False,-1.0,15.0,0.9044474245165688,0.05695240889608548
cue,unnormed-barycenter,bowav,random_forest,False,-1.0,20.0,0.8923346219363292,0.07632429730182153
cue,unnormed-barycenter,bowav,random_forest,False,-1.0,25.0,0.8948370587876958,0.07955567149997114
cue,unnormed-barycenter,bowav,random_forest,False,-1.0,30.0,0.8870636982835881,0.08443073657820029
cue,unnormed-barycenter,bowav,random_forest,False,-1.0,35.0,0.8949714088533964,0.07802862864788561
cue,unnormed-barycenter,bowav,random_forest,False,-1.0,40.0,0.8967972261096299,0.0868600845575181
cue,unnormed-barycenter,bowav,random_forest,False,-1.0,45.0,0.900293537704937,0.07807971942762068
cue,unnormed-barycenter,bowav,random_forest,False,-1.0,50.0,0.8986324081368308,0.07928395214668629
cue,unnormed-barycenter,bowav,random_forest,False,300.0,0.15,0.822639594529707,0.08875574248643114
cue,unnormed-barycenter,bowav,random_forest,False,300.0,0.325,0.8413191161680577,0.07470938614382364
cue,unnormed-barycenter,bowav,random_forest,False,300.0,0.5,0.8599016328040091,0.06718219345827199
cue,unnormed-barycenter,bowav,random_forest,False,300.0,0.65,0.866846474810757,0.06963274069576335
cue,unnormed-barycenter,bowav,random_forest,False,300.0,0.825,0.865624187569891,0.0671313535615589
cue,unnormed-barycenter,bowav,random_forest,False,300.0,1.0,0.8679534789135177,0.07671232240152859
cue,unnormed-barycenter,bowav,random_forest,False,300.0,2.0,0.869330474142238,0.07544074990603411
cue,unnormed-barycenter,bowav,random_forest,False,300.0,3.0,0.8713283603058978,0.06607560936825993
cue,unnormed-barycenter,bowav,random_forest,False,300.0,4.0,0.8885623035564664,0.04289002560519136
cue,unnormed-barycenter,bowav,random_forest,False,300.0,5.0,0.8849495361107577,0.04321449499813299
cue,unnormed-barycenter,bowav,random_forest,False,300.0,10.0,0.8864412724291378,0.052545708827463546
cue,unnormed-barycenter,bowav,random_forest,False,300.0,15.0,0.8913183723003505,0.06306619221490718
cue,unnormed-barycenter,bowav,random_forest,False,300.0,20.0,0.8785593784984841,0.07309974810329509
cue,unnormed-barycenter,bowav,random_forest,False,300.0,25.0,0.878497010658413,0.06910667617749452
cue,unnormed-barycenter,bowav,random_forest,False,300.0,30.0,0.887228788810147,0.05653004150411736
cue,unnormed-barycenter,bowav,random_forest,False,300.0,35.0,0.87743077933083,0.0633971739551001
cue,unnormed-barycenter,bowav,random_forest,False,300.0,40.0,0.878949254358297,0.06502209515655337
cue,unnormed-barycenter,bowav,random_forest,False,300.0,45.0,0.8746998436806396,0.07564524533951562
cue,unnormed-barycenter,bowav,random_forest,False,300.0,50.0,0.8709767140518975,0.07766119359013349
cue,unnormed-barycenter,psd_autocorr,random_forest,False,-1.0,1.0,0.8104597216985517,0.08806761219100831
cue,unnormed-barycenter,psd_autocorr,random_forest,False,-1.0,2.0,0.8381493304842361,0.0791327300556413
cue,unnormed-barycenter,psd_autocorr,random_forest,False,-1.0,3.0,0.8285586327175899,0.08305886741061924
cue,unnormed-barycenter,psd_autocorr,random_forest,False,-1.0,4.0,0.8489273798904957,0.06995936495389753
cue,unnormed-barycenter,psd_autocorr,random_forest,False,-1.0,5.0,0.8423058819579724,0.07467473458376839
cue,unnormed-barycenter,psd_autocorr,random_forest,False,-1.0,10.0,0.8580240796907849,0.056887503558628504
cue,unnormed-barycenter,psd_autocorr,random_forest,False,-1.0,15.0,0.8575908024246651,0.07584082021600995
cue,unnormed-barycenter,psd_autocorr,random_forest,False,-1.0,20.0,0.8583157789128698,0.07162264466179451
cue,unnormed-barycenter,psd_autocorr,random_forest,False,-1.0,25.0,0.8562246316635532,0.08101703875228447
cue,unnormed-barycenter,psd_autocorr,random_forest,False,-1.0,30.0,0.8603763595162355,0.07623826078001465
cue,unnormed-barycenter,psd_autocorr,random_forest,False,-1.0,35.0,0.8590805566422404,0.07851121090004795
cue,unnormed-barycenter,psd_autocorr,random_forest,False,-1.0,40.0,0.8586208088111049,0.0854824013720084
cue,unnormed-barycenter,psd_autocorr,random_forest,False,-1.0,45.0,0.8568311664551297,0.08819479484405998
cue,unnormed-barycenter,psd_autocorr,random_forest,False,-1.0,50.0,0.861123593154677,0.09120420181106365
cue,unnormed-barycenter,psd_autocorr,random_forest,False,300.0,0.15,0.6622101862816433,0.17041140264416435
cue,unnormed-barycenter,psd_autocorr,random_forest,False,300.0,0.325,0.6946604590616242,0.15395716435151524
cue,unnormed-barycenter,psd_autocorr,random_forest,False,300.0,0.5,0.7315214314433217,0.14599885033391288
cue,unnormed-barycenter,psd_autocorr,random_forest,False,300.0,0.65,0.750923637983974,0.15830639178502176
cue,unnormed-barycenter,psd_autocorr,random_forest,False,300.0,0.825,0.7545514456205251,0.1408115615094939
cue,unnormed-barycenter,psd_autocorr,random_forest,False,300.0,1.0,0.7509121389148569,0.11915013854044723
cue,unnormed-barycenter,psd_autocorr,random_forest,False,300.0,2.0,0.7529788769202099,0.16446346298347594
